actionmailer, 4.1.5, MIT
actionpack, 4.1.5, MIT
actionview, 4.1.5, MIT
active_model_serializers, 0.9.0, MIT
active_record_query_trace, 1.3, MIT
activemodel, 4.1.5, MIT
activerecord, 4.1.5, MIT
activerecord-fixture_builder, 0.0.1, MIT
activesupport, 4.1.5, MIT
acts_as_list, 0.2.0, Apache 2.0
addressable, 2.3.6, Apache 2.0
algoliasearch, 1.2.13, MIT
algoliasearch-rails, 1.11.7, MIT
animate-sass, 0.1.1, MIT
arel, 5.0.1.20140414130214, MIT
autoparse, 0.3.3, Apache 2.0
backports, 3.6.1, MIT
barber, 0.4.2, MIT
barber-emblem, 0.1.1, MIT
bcrypt, 3.1.7, MIT
binding_of_caller, 0.7.2, MIT
builder, 3.2.2, MIT
bundler, 1.7.4, MIT
byebug, 2.7.0, BSD
cancan, 1.6.10, MIT
capybara, 2.4.4, MIT
celluloid, 0.15.2, MIT
childprocess, 0.5.5, MIT
chunky_png, 1.3.0, MIT
closeio, 0.0.13, MIT
coderay, 1.1.0, MIT
columnize, 0.8.9, ruby, GPL2
compass, 0.12.5, MIT
compass-flexbox, 1.1.3, MIT
compass-rails, 1.1.7, MIT
connection_pool, 2.0.0, MIT
crack, 0.4.2, MIT
crass, 0.2.1, MIT
css_parser, 1.3.5, MIT
debug_inspector, 0.0.2, MIT
debugger-linecache, 1.2.0, MIT
descendants_tracker, 0.0.3, MIT
did_you_mean, 0.9.2, MIT
diff-lcs, 1.2.5, MIT, Perl Artistic v2, GNU GPL v2
dnsruby, 1.54, Apache 2.0
dotenv, 0.8.0, MIT
dotenv-rails, 0.8.0, MIT
ember-data-source, 1.0.0.beta.10, MIT
ember-rails, 0.15.0, MIT
ember-source, 1.7.0, MIT
emblem-rails, 0.2.1, MIT
emblem-source, 0.3.17, MIT
encryptor, 1.1.3, MIT
erubis, 2.7.0, MIT
excon, 0.31.0, MIT
execjs, 2.2.1, MIT
extlib, 0.9.16, MIT
factory_girl, 4.2.0, MIT
factory_girl_rails, 4.2.1, MIT
faraday, 0.8.8, MIT
ffaker, 1.16.2, MIT
ffi, 1.9.6, BSD
filepicker-rails, 0.1, MIT
fog, 1.19.0, MIT
formatador, 0.2.4, MIT
fssm, 0.2.10, MIT
fuubar, 2.0.0, MIT
google-api-client, 0.6.4, Apache 2.0
haml, 4.0.5, MIT
handlebars-source, 1.3.0, MIT
hashie, 2.0.5, MIT
