actionmailer,4.1.5,MIT,"Email composition, delivery, and receiving framework (part of Rails).","Email on Rails. Compose, deliver, receive, and test emails using the familiar controller/view pattern. First-class support for multipart email and attachments."
actionpack,4.1.5,MIT,Web-flow and rendering framework putting the VC in MVC (part of Rails).,"Web apps on Rails. Simple, battle-tested conventions for building and testing MVC web applications. Works with any Rack-compatible server."
actionview,4.1.5,MIT,Rendering framework putting the V in MVC (part of Rails).,"Simple, battle-tested conventions and helpers for building web pages."
active_model_serializers,0.9.0,MIT,Bringing consistency and object orientation to model serialization. Works great for client-side MVC frameworks!,Making it easy to serialize models for client-side use
active_record_query_trace,1.3,MIT,Print stack trace of all queries to the Rails log. Helpful to find where queries are being executed in your application.,Print stack trace of all queries to the Rails log. Helpful to find where queries are being executed in your application.
activemodel,4.1.5,MIT,A toolkit for building modeling frameworks (part of Rails).,"A toolkit for building modeling frameworks like Active Record. Rich support for attributes, callbacks, validations, serialization, internationalization, and testing."
activerecord,4.1.5,MIT,Object-relational mapper framework (part of Rails).,"Databases on Rails. Build a persistent domain model by mapping database tables to Ruby classes. Strong conventions for associations, validations, aggregations, migrations, and testing come baked-in."
activerecord-fixture_builder,0.0.1,MIT,A simple fixture builder for active record,A simple fixture builder for active record
activesupport,4.1.5,MIT,A toolkit of support libraries and Ruby core extensions extracted from the Rails framework.,"A toolkit of support libraries and Ruby core extensions extracted from the Rails framework. Rich support for multibyte strings, internationalization, time zones, and testing."
acts_as_list,0.2.0,Apache 2.0,A gem allowing a active_record model to act_as_list.,"This ""acts_as"" extension provides the capabilities for sorting and reordering a number of objects in a list. The class that has this specified needs to have a ""position"" column defined as an integer on the mapped database table."
addressable,2.3.6,Apache 2.0,URI Implementation,"Addressable is a replacement for the URI implementation that is part of
Ruby's standard library. It more closely conforms to the relevant RFCs and
adds support for IRIs and URI templates."
algoliasearch,1.2.13,MIT,A simple Ruby client for the algolia.com REST API,A simple Ruby client for the algolia.com REST API
algoliasearch-rails,1.11.7,MIT,AlgoliaSearch integration to your favorite ORM,AlgoliaSearch integration to your favorite ORM
animate-sass,0.1.1,MIT,"Sass and Compass CSS animation library for WebKit, Firefox and beyond, based on Animate.css","Animate.sass is a Sass and Compass CSS animation library for WebKit, Firefox and beyond based on the work being done in Animate.css"
arel,5.0.1.20140414130214,MIT,Arel is a SQL AST manager for Ruby,"Arel is a SQL AST manager for Ruby. It

1. Simplifies the generation of complex SQL queries
2. Adapts to various RDBMSes

It is intended to be a framework framework; that is, you can build your own ORM
with it, focusing on innovative object and collection modeling as opposed to
database compatibility and query generation."
autoparse,0.3.3,Apache 2.0,A parsing system based on JSON Schema.,"An implementation of the JSON Schema specification. Provides automatic parsing
for any given JSON Schema."
backports,3.6.1,MIT,Backports of Ruby features for older Ruby.,Essential backports that enable many of the nice features of Ruby 1.8.7 up to 2.1.0 for earlier versions.
barber,0.4.2,MIT,Handlebars precompilation toolkit,Handlebars precompilation
barber-emblem,0.1.1,MIT,Emblem.js precompilation toolkit,Emblem.js precompilation
bcrypt,3.1.7,MIT,OpenBSD's bcrypt() password hashing algorithm.,"bcrypt() is a sophisticated and secure hash algorithm designed by The OpenBSD project
    for hashing passwords. The bcrypt Ruby gem provides a simple wrapper for safely handling
    passwords."
binding_of_caller,0.7.2,MIT,Retrieve the binding of a method's caller. Can also retrieve bindings even further up the stack.,Retrieve the binding of a method's caller. Can also retrieve bindings even further up the stack.
builder,3.2.2,MIT,Builders for MarkUp.,"Builder provides a number of builder objects that make creating structured data
simple to do.  Currently the following builder objects are supported:

* XML Markup
* XML Events"
bundler,1.7.4,MIT,The best way to manage your application's dependencies,"Bundler manages an application's dependencies through its entire life, across many machines, systematically and repeatably"
byebug,2.7.0,BSD,Ruby 2.0 fast debugger - base + cli,"Byebug is a Ruby 2 debugger. It's implemented using the
    Ruby 2 TracePoint C API for execution control and the Debug Inspector C API
    for call stack navigation.  The core component provides support that
    front-ends can build on. It provides breakpoint handling and bindings for
    stack frames among other things and it comes with an easy to use command
    line interface."
cancan,1.6.10,MIT,Simple authorization solution for Rails.,Simple authorization solution for Rails which is decoupled from user roles. All permissions are stored in a single location.
capybara,2.4.4,MIT,"Capybara aims to simplify the process of integration testing Rack applications, such as Rails, Sinatra or Merb",Capybara is an integration testing tool for rack based web applications. It simulates how a user would interact with a website
celluloid,0.15.2,MIT,Actor-based concurrent object framework for Ruby,Celluloid enables people to build concurrent programs out of concurrent objects just as easily as they build sequential programs out of sequential objects
childprocess,0.5.5,MIT,This gem aims at being a simple and reliable solution for controlling external programs running in the background on any Ruby / OS combination.,This gem aims at being a simple and reliable solution for controlling external programs running in the background on any Ruby / OS combination.
chunky_png,1.3.0,MIT,"Pure ruby library for read/write, chunk-level access to PNG files","This pure Ruby library can read and write PNG images without depending on an external 
    image library, like RMagick. It tries to be memory efficient and reasonably fast.
    
    It supports reading and writing all PNG variants that are defined in the specification, 
    with one limitation: only 8-bit color depth is supported. It supports all transparency, 
    interlacing and filtering options the PNG specifications allows. It can also read and 
    write textual metadata from PNG files. Low-level read/write access to PNG chunks is
    also possible.
    
    This library supports simple drawing on the image canvas and simple operations like
    alpha composition and cropping. Finally, it can import from and export to RMagick for 
    interoperability.
    
    Also, have a look at OilyPNG at http://github.com/wvanbergen/oily_png. OilyPNG is a 
    drop in mixin module that implements some of the ChunkyPNG algorithms in C, which 
    provides a massive speed boost to encoding and decoding."
closeio,0.0.13,MIT,A Ruby wrapper for the CloseIO API,"A Ruby wrapper for the CloseIO API -- a sales CRM built by salespeople, for salespeople."
coderay,1.1.0,MIT,Fast syntax highlighting for selected languages.,"Fast and easy syntax highlighting for selected languages, written in Ruby. Comes with RedCloth integration and LOC counter."
columnize,0.8.9,"ruby,GPL2",Module to format an Array as an Array of String aligned in columns,"In showing a long lists, sometimes one would prefer to see the value
arranged aligned in columns. Some examples include listing methods
of an object or debugger commands.
See Examples in the rdoc documentation for examples."
compass,0.12.5,MIT,A Real Stylesheet Framework,Compass is a Sass-based Stylesheet Framework that streamlines the creation and maintenance of CSS.
compass-flexbox,1.1.3,MIT,A compass extension that provides variables & mixins for the latest Flexible Box Layout (flexbox) specification,A compass extension that provides variables & mixins for the latest Flexible Box Layout (flexbox) specification
compass-rails,1.1.7,MIT,Integrate Compass into Rails 3.0 and up.,Integrate Compass into Rails 3.0 and up.
connection_pool,2.0.0,MIT,Generic connection pool for Ruby,Generic connection pool for Ruby
crack,0.4.2,MIT,"Really simple JSON and XML parsing, ripped from Merb and Rails.","Really simple JSON and XML parsing, ripped from Merb and Rails."
crass,0.2.1,MIT,CSS parser based on the CSS Syntax Level 3 draft.,Crass is a pure Ruby CSS parser based on the CSS Syntax Level 3 draft.
css_parser,1.3.5,MIT,Ruby CSS parser.,A set of classes for parsing CSS in Ruby.
debug_inspector,0.0.2,MIT,A Ruby wrapper for the MRI 2.0 debug_inspector API,A Ruby wrapper for the MRI 2.0 debug_inspector API
debugger-linecache,1.2.0,MIT,Read file with caching,"Linecache is a module for reading and caching lines. This may be useful for
example in a debugger where the same lines are shown many times."
descendants_tracker,0.0.3,MIT,Module that adds descendant tracking to a class,Module that adds descendant tracking to a class
did_you_mean,0.9.2,MIT,"""Did you mean?"" experience in Ruby","""did you mean?"" experience in Ruby: the error message will tell you the right one when you misspelled something."
diff-lcs,1.2.5,"MIT,Perl Artistic v2,GNU GPL v2",Diff::LCS computes the difference between two Enumerable sequences using the McIlroy-Hunt longest common subsequence (LCS) algorithm,"Diff::LCS computes the difference between two Enumerable sequences using the
McIlroy-Hunt longest common subsequence (LCS) algorithm. It includes utilities
to create a simple HTML diff output format and a standard diff-like tool.

This is release 1.2.4, fixing a bug introduced after diff-lcs 1.1.3 that did
not properly prune common sequences at the beginning of a comparison set.
Thanks to Paul Kunysch for fixing this issue.

Coincident with the release of diff-lcs 1.2.3, we reported an issue with
Rubinius in 1.9 mode
({rubinius/rubinius#2268}[https://github.com/rubinius/rubinius/issues/2268]).
We are happy to report that this issue has been resolved."
dnsruby,1.54,Apache 2.0,Ruby DNS(SEC) implementation,""
dotenv,0.8.0,MIT,Loads environment variables from `.env`.,Loads environment variables from `.env`.
dotenv-rails,0.8.0,MIT,Autoload dotenv in Rails.,Autoload dotenv in Rails.
ember-data-source,1.0.0.beta.10,MIT,ember-data source code wrapper.,ember-data source code wrapper for use with Ruby libs.
ember-rails,0.15.0,MIT,Ember for Rails 3.1+,""
ember-source,1.7.0,MIT,Ember.js source code wrapper.,Ember.js source code wrapper for use with Ruby libs.
emblem-rails,0.2.1,MIT,Use emblem.js with ember-rails,Use emblem.js with ember-rails - see https://github.com/machty/emblem.js
emblem-source,0.3.17,MIT,Emblem.js source code wrapper,Emblem.js source code wrapper for (pre)compilation gems.
encryptor,1.1.3,MIT,A simple wrapper for the standard ruby OpenSSL library,A simple wrapper for the standard ruby OpenSSL library to encrypt and decrypt strings
erubis,2.7.0,MIT,a fast and extensible eRuby implementation which supports multi-language,"Erubis is an implementation of eRuby and has the following features:

  * Very fast, almost three times faster than ERB and about 10% faster than eruby.
  * Multi-language support (Ruby/PHP/C/Java/Scheme/Perl/Javascript)
  * Auto escaping support
  * Auto trimming spaces around '<% %>'
  * Embedded pattern changeable (default '<% %>')
  * Enable to handle Processing Instructions (PI) as embedded pattern (ex. '<?rb ... ?>')
  * Context object available and easy to combine eRuby template with YAML datafile
  * Print statement available
  * Easy to extend and customize in subclass
  * Ruby on Rails support"
excon,0.31.0,MIT,"speed, persistence, http(s)",EXtended http(s) CONnections
execjs,2.2.1,MIT,Run JavaScript code from Ruby,ExecJS lets you run JavaScript code from Ruby.
extlib,0.9.16,MIT,Support library for Merb,Support library for Merb
factory_girl,4.2.0,MIT,factory_girl provides a framework and DSL for defining and using model instance factories.,"factory_girl provides a framework and DSL for defining and
                      using factories - less error-prone, more explicit, and
                      all-around easier to work with than fixtures."
factory_girl_rails,4.2.1,MIT,factory_girl_rails provides integration between factory_girl and rails 3,"factory_girl_rails provides integration between
    factory_girl and rails 3 (currently just automatic factory definition
    loading)"
faraday,0.8.8,MIT,HTTP/REST API client library.,""
ffaker,1.16.2,MIT,"Faster Faker, generates dummy data.","Faster Faker, generates dummy data."
ffi,1.9.6,BSD,Ruby FFI,Ruby FFI library
filepicker-rails,0.1,MIT,Makes integrating filepicker.io with rails 4 easy,Makes integrating filepicker.io with rails 4 easy
fog,1.19.0,MIT,brings clouds to you,"The Ruby cloud services library. Supports all major cloud providers including AWS, Rackspace, Linode, Blue Box, StormOnDemand, and many others. Full support for most AWS services including EC2, S3, CloudWatch, SimpleDB, ELB, and RDS."
formatador,0.2.4,MIT,Ruby STDOUT text formatting,STDOUT text formatting
fssm,0.2.10,MIT,File System State Monitor,"The File System State Monitor keeps track of the state of any number of paths and will fire events when said state changes (create/update/delete). FSSM supports using FSEvents on MacOS, Inotify on GNU/Linux, and polling anywhere else."
fuubar,2.0.0,MIT,the instafailing RSpec progress bar formatter,the instafailing RSpec progress bar formatter
google-api-client,0.6.4,Apache 2.0,Package Summary,"The Google API Ruby Client makes it trivial to discover and access supported
APIs."
haml,4.0.5,MIT,"An elegant, structured (X)HTML/XML templating engine.","Haml (HTML Abstraction Markup Language) is a layer on top of HTML or XML that's
designed to express the structure of documents in a non-repetitive, elegant, and
easy way by using indentation rather than closing tags and allowing Ruby to be
embedded with ease. It was originally envisioned as a plugin for Ruby on Rails,
but it can function as a stand-alone templating engine."
handlebars-source,1.3.0,MIT,Handlebars.js source code wrapper,Handlebars.js source code wrapper for (pre)compilation gems.
hashie,2.0.5,MIT,Your friendly neighborhood hash toolkit.,Hashie is a small collection of tools that make hashes more powerful. Currently includes Mash (Mocking Hash) and Dash (Discrete Hash).
hike,1.2.3,MIT,Find files in a set of paths,A Ruby library for finding files in a set of paths.
honeybadger,1.9.5,MIT,Error reports you can be happy about.,Make managing application errors a more pleasant experience.
htmlentities,4.3.1,MIT,A module for encoding and decoding (X)HTML entities.,""
httmultiparty,0.3.10,MIT,HTTMultiParty is a thin wrapper around HTTParty to provide multipart uploads.,HTTMultiParty is a thin wrapper around HTTParty to provide multipart uploads.
httparty,0.11.0,MIT,"Makes http fun! Also, makes consuming restful web services dead easy.","Makes http fun! Also, makes consuming restful web services dead easy."
httpclient,2.5.1,ruby,gives something like the functionality of libwww-perl (LWP) in Ruby,""
i18n,0.6.11,MIT,New wave Internationalization support for Ruby,New wave Internationalization support for Ruby.
ice_cube,0.11.3,MIT,Ruby Date Recurrence Library,"ice_cube is a recurring date library for Ruby.  It allows for quick, programatic expansion of recurring date rules."
incoming,0.1.6,MIT,Incoming! helps you receive email in your Rack apps.,"Incoming! standardizes various mail parse apis, making it a snap to receive emails through HTTP post hooks."
interception,0.5,MIT,Intercept exceptions as they are being raised,Provides a cross-platform ability to intercept all exceptions as they are raised.
jasmine,2.0.0,MIT,JavaScript BDD framework,"Test your JavaScript without any framework dependencies, in any environment, and with a nice descriptive syntax."
jasmine-core,2.0.0,MIT,JavaScript BDD framework,"Test your JavaScript without any framework dependencies, in any environment, and with a nice descriptive syntax."
jquery-rails,3.1.2,MIT,Use jQuery with Rails 3+,This gem provides jQuery and the jQuery-ujs driver for your Rails 3+ application.
js-routes,0.9.1,MIT,Brings Rails named routes to javascript,Generates javascript file that defines all Rails named routes as javascript helpers
json,1.8.1,ruby,JSON Implementation for Ruby,This is a JSON implementation as a Ruby extension in C.
jwt,0.1.13,MIT,JSON Web Token implementation in Ruby,JSON Web Token implementation in Ruby
kgio,2.8.0,LGPL,"kinder, gentler I/O for Ruby","kgio provides non-blocking I/O methods for Ruby without raising
exceptions on EAGAIN and EINPROGRESS.  It is intended for use with the
Unicorn and Rainbows! Rack servers, but may be used by other
applications (that run on Unix-like platforms)."
launchy,2.4.3,ISC,Launchy is helper class for launching cross-platform applications in a fire and forget manner.,"Launchy is helper class for launching cross-platform applications in a fire and forget manner. There are application concepts (browser, email client, etc) that are common across all platforms, and they may be launched differently on each platform. Launchy is here to make a common approach to launching external application from within ruby programs."
let,0.1.3,MIT,Memoized attributes,Same as RSpec's let
mail,2.5.4,MIT,"Mail provides a nice Ruby DSL for making, sending and reading emails.",A really Ruby Mail handler.
mail_alternatives_with_attachments,2.0.0,MIT,This gem makes it easy to send multipart alternative emails from ActionMailer 3,"ActionMailer 3 makes it much easier to send emails, but there is one case it doesn't handle well.\
 Specifically, it is difficult to send a message that has the proper MIME hiearchy for an email with both HTML and text alternatives\
 that also includes attachments. This gem solves that need."
mail_view,2.0.1,MIT,Visual email testing,""
method_object,0.1.0,MIT,wraps up the method object pattern into a class,wraps up the method object pattern into a class
method_source,0.8.2,MIT,retrieve the sourcecode for a method,retrieve the sourcecode for a method
mime-types,1.25.1,"MIT,Artistic 2.0,GPL-2",This library allows for the identification of a file's likely MIME content type,"This library allows for the identification of a file's likely MIME content
type. This is release 1.25.1, fixing an issue with priority comparison for
mime-types 1.x. The current release is 2.0, which only supports Ruby 1.9 or
later.

Release 1.25.1 contains all features of 1.25, including the experimental
caching and lazy loading functionality. The caching and lazy loading features
were initially implemented by Greg Brockman (gdb). As these features are
experimental, they are disabled by default and must be enabled through the use
of environment variables. The cache is invalidated on a per-version basis; the
cache for version 1.25 will not be reused for any later version.

To use lazy loading, set the environment variable +RUBY_MIME_TYPES_LAZY_LOAD+
to any value other than 'false'. When using lazy loading, the initial startup
of MIME::Types is around 12–25× faster than normal startup (on my system,
normal startup is about 90 ms; lazy startup is about 4 ms). This isn't
generally useful, however, as the MIME::Types database has not been loaded.
Lazy startup and load is just *slightly* faster—around 1 ms. The real advantage
comes from using the cache.

To enable the cache, set the environment variable +RUBY_MIME_TYPES_CACHE+ to a
filename where MIME::Types will have read-write access. The first time a new
version of MIME::Types is run using this file, it will be created, taking a
little longer than normal. Subsequent loads using the same cache file will be
approximately 3½× faster (25 ms) than normal loads. This can be combined with
+RUBY_MIME_TYPES_LAZY_LOAD+, but this is *not* recommended in a multithreaded
or multiprocess environment where all threads or processes will be using the
same cache file.

As the caching interface is still experimental, the only values cached are the
default MIME::Types database, not any custom MIME::Types added by users.

MIME types are used in MIME-compliant communications, as in e-mail or HTTP
traffic, to indicate the type of content which is transmitted. MIME::Types
provides the ability for detailed information about MIME entities (provided as
a set of MIME::Type objects) to be determined and used programmatically. There
are many types defined by RFCs and vendors, so the list is long but not
complete; don't hesitate to ask to add additional information. This library
follows the IANA collection of MIME types (see below for reference).

MIME::Types for Ruby was originally based on MIME::Types for Perl by Mark
Overmeer, copyright 2001 - 2009.

MIME::Types is built to conform to the MIME types of RFCs 2045 and 2231. It
tracks the {IANA registry}[http://www.iana.org/assignments/media-types/]
({ftp}[ftp://ftp.iana.org/assignments/media-types]) with some unofficial types
added from the {LTSW collection}[http://www.ltsw.se/knbase/internet/mime.htp]
and added by the users of MIME::Types."
mini_portile,0.6.1,MIT,Simplistic port-like solution for developers,Simplistic port-like solution for developers. It provides a standard and simplified way to compile against dependency libraries without messing up your system.
minitest,5.4.3,MIT,"minitest provides a complete suite of testing facilities supporting TDD, BDD, mocking, and benchmarking","minitest provides a complete suite of testing facilities supporting
TDD, BDD, mocking, and benchmarking.

    ""I had a class with Jim Weirich on testing last week and we were
     allowed to choose our testing frameworks. Kirk Haines and I were
     paired up and we cracked open the code for a few test
     frameworks...

     I MUST say that minitest is *very* readable / understandable
     compared to the 'other two' options we looked at. Nicely done and
     thank you for helping us keep our mental sanity.""

    -- Wayne E. Seguin

minitest/unit is a small and incredibly fast unit testing framework.
It provides a rich set of assertions to make your tests clean and
readable.

minitest/spec is a functionally complete spec engine. It hooks onto
minitest/unit and seamlessly bridges test assertions over to spec
expectations.

minitest/benchmark is an awesome way to assert the performance of your
algorithms in a repeatable manner. Now you can assert that your newb
co-worker doesn't replace your linear algorithm with an exponential
one!

minitest/mock by Steven Baker, is a beautifully tiny mock (and stub)
object framework.

minitest/pride shows pride in testing and adds coloring to your test
output. I guess it is an example of how to write IO pipes too. :P

minitest/unit is meant to have a clean implementation for language
implementors that need a minimal set of methods to bootstrap a working
test suite. For example, there is no magic involved for test-case
discovery.

    ""Again, I can't praise enough the idea of a testing/specing
     framework that I can actually read in full in one sitting!""

    -- Piotr Szotkowski

Comparing to rspec:

    rspec is a testing DSL. minitest is ruby.

    -- Adam Hawkins, ""Bow Before MiniTest""

minitest doesn't reinvent anything that ruby already provides, like:
classes, modules, inheritance, methods. This means you only have to
learn ruby to use minitest and all of your regular OO practices like
extract-method refactorings still apply."
mixpanel-ruby,1.2.0,Apache 2.0,Official Mixpanel tracking library for ruby,The official Mixpanel tracking library for ruby
mock_redis,0.13.2,MIT,Redis mock that just lives in memory; useful for testing.,Instantiate one with `redis = MockRedis.new` and treat it like you would a normal Redis object. It supports all the usual Redis operations.
multi_json,1.10.1,MIT,A common interface to multiple JSON libraries.,"A common interface to multiple JSON libraries, including Oj, Yajl, the JSON gem (with C-extensions), the pure-Ruby JSON gem, NSJSONSerialization, gson.rb, JrJackson, and OkJson."
multi_xml,0.5.4,MIT,A generic swappable back-end for XML parsing,"Provides swappable XML backends utilizing LibXML, Nokogiri, Ox, or REXML."
multipart-post,1.2.0,MIT,A multipart form post accessory for Net::HTTP.,"Use with Net::HTTP to do multipart form posts.  IO values that have #content_type, #original_filename, and #local_path will be posted as a binary file."
net-scp,1.1.2,MIT,A pure Ruby implementation of the SCP client protocol,A pure Ruby implementation of the SCP client protocol
net-ssh,2.7.0,MIT,Net::SSH: a pure-Ruby implementation of the SSH2 client protocol.,"Net::SSH: a pure-Ruby implementation of the SSH2 client protocol. It allows you to write programs that invoke and interact with processes on remote servers, via SSH2."
newrelic_rpm,3.9.2.239,"New Relic,MIT,ruby",New Relic Ruby Agent,"New Relic is a performance management system, developed by New Relic,
Inc (http://www.newrelic.com).  New Relic provides you with deep
information about the performance of your web application as it runs
in production. The New Relic Ruby Agent is dual-purposed as a either a
Gem or plugin, hosted on
http://github.com/newrelic/rpm/"
nokogiri,1.6.4.1,MIT,"Nokogiri (鋸) is an HTML, XML, SAX, and Reader parser","Nokogiri (鋸) is an HTML, XML, SAX, and Reader parser.  Among Nokogiri's
many features is the ability to search documents via XPath or CSS3 selectors.

XML is like violence - if it doesn’t solve your problems, you are not using
enough of it."
nokogumbo,1.1.12,Apache 2.0,Nokogiri interface to the Gumbo HTML5 parser,Nokogumbo allows a Ruby program to invoke the Gumbo HTML5 parser and access the result as a Nokogiri parsed document.
oauth,0.4.7,MIT,OAuth Core Ruby implementation,OAuth Core Ruby implementation
oauth2,0.9.3,MIT,A Ruby wrapper for the OAuth 2.0 protocol.,A Ruby wrapper for the OAuth 2.0 protocol built with a similar style to the original OAuth spec.
omniauth,1.2.1,MIT,A generalized Rack framework for multiple-provider authentication.,A generalized Rack framework for multiple-provider authentication.
omniauth-google-oauth2,0.2.4,MIT,A Google OAuth2 strategy for OmniAuth 1.x,A Google OAuth2 strategy for OmniAuth 1.x
omniauth-oauth,1.0.1,MIT,A generic OAuth (1.0/1.0a) strategy for OmniAuth.,A generic OAuth (1.0/1.0a) strategy for OmniAuth.
omniauth-oauth2,1.1.2,MIT,An abstract OAuth2 strategy for OmniAuth.,An abstract OAuth2 strategy for OmniAuth.
omniauth-trello,0.0.4,MIT,An OAuth 1.0 Strategy for Trello that abstracts the OAuth flow using the Omniauth gem,OAuth 1.0 Strategy for Trello
options_hash,0.0.1,MIT,A configurable options hash definition,A configurable options hash definition
options_hash-method_object,0.1.0,MIT,A MethodObject with an OptionsHash built in,A MethodObject with an OptionsHash built in
pg,0.17.1,"BSD,ruby,GPL",Pg is the Ruby interface to the {PostgreSQL RDBMS}[http://www.postgresql.org/],"Pg is the Ruby interface to the {PostgreSQL RDBMS}[http://www.postgresql.org/].

It works with {PostgreSQL 8.4 and later}[http://www.postgresql.org/support/versioning/].

A small example usage:

  #!/usr/bin/env ruby

  require 'pg'

  # Output a table of current connections to the DB
  conn = PG.connect( dbname: 'sales' )
  conn.exec( ""SELECT * FROM pg_stat_activity"" ) do |result|
    puts ""     PID | User             | Query""
  result.each do |row|
      puts "" %7d | %-16s | %s "" %
        row.values_at('procpid', 'usename', 'current_query')
    end
  end"
phantomjs,1.9.2.1,MIT,Auto-install phantomjs on demand for current platform. Comes with poltergeist integration.,Auto-install phantomjs on demand for current platform. Comes with poltergeist integration.
polyglot,0.3.5,MIT,Augment 'require' to load non-Ruby file types,"The Polyglot library allows a Ruby module to register a loader
for the file type associated with a filename extension, and it
augments 'require' to find and load matching files."
pry,0.9.12.6,MIT,An IRB alternative and runtime developer console,An IRB alternative and runtime developer console
pry-byebug,1.3.2,MIT,Fast debugging with Pry.,"Combine 'pry' with 'byebug'. Adds 'step', 'next', and
    'continue' commands to control execution."
pry-rails,0.3.2,MIT,Use Pry as your rails console,""
rack,1.5.2,MIT,a modular Ruby webserver interface,"Rack provides a minimal, modular and adaptable interface for developing
web applications in Ruby.  By wrapping HTTP requests and responses in
the simplest way possible, it unifies and distills the API for web
servers, web frameworks, and software in between (the so-called
middleware) into a single method call.

Also see http://rack.github.com/."
rack-protection,1.5.1,MIT,You should use protection!,You should use protection!
rack-test,0.6.2,MIT,Simple testing API built on Rack,"Rack::Test is a small, simple testing API for Rack apps. It can be used on its
own or as a reusable starting point for Web frameworks and testing libraries
to build on. Most of its initial functionality is an extraction of Merb 1.0's
request helpers feature."
rack-zippy,1.2.1,MIT,Rack middleware for serving static gzipped assets generated by the Rails asset pipeline,Rack middleware for serving static gzipped assets generated by the Rails asset pipeline
rails,4.1.5,MIT,Full-stack web application framework.,Ruby on Rails is a full-stack web framework optimized for programmer happiness and sustainable productivity. It encourages beautiful code by favoring convention over configuration.
rails_12factor,0.0.2,MIT,"Following best practices from http://12factor.net run a maintainable, clean, and scalable app on Rails",Run Rails the 12factor way
